tanggal,medan,pekanbaru,batam,palembang,bandung,jakarta,yogyakarta,surabaya,balikpapan,makassar
2020-01-01,,,,,,,,,,
2020-01-02,39550,45400,93550,65600,79200,72900,97450,75800,77600.0,43550
2020-01-03,39550,45400,93550,65600,79200,72900,97450,75800,77600.0,43550
2020-01-04,,,,,,,,,,
2020-01-05,,,,,,,,,,
2020-01-06,39550,45400,93550,65600,79200,72900,97450,75800,77600.0,43550
2020-01-07,39550,45400,93550,65600,79200,72900,97450,75800,77600.0,43550
2020-01-08,40500,78200,111450,65600,77900,72500,86350,87000,77600.0,45500
2020-01-09,40500,78200,111450,65600,77900,72500,86350,87000,77600.0,45500
2020-01-10,40500,78200,111450,65600,77900,72500,86350,87000,77600.0,45500
2020-01-11,,,,,,,,,,
2020-01-12,,,,,,,,,,
2020-01-13,40500,78200,111450,65600,77900,72500,86350,87000,77600.0,45500
2020-01-14,40500,78200,111450,65600,77900,72500,86350,87000,77600.0,45500
2020-01-15,44300,78200,111450,75300,86600,75400,85450,87500,77600.0,47250
2020-01-16,44300,78200,111450,75300,86600,75400,85450,87500,77600.0,47250
2020-01-17,44300,78200,111450,75300,86600,75400,85450,87500,77600.0,47250
2020-01-18,,,,,,,,,,
2020-01-19,,,,,,,,,,
2020-01-20,44300,78200,111450,75300,86600,75400,85450,87500,77600.0,47250
2020-01-21,44300,78200,111450,75300,86600,75400,85450,87500,77600.0,47250
2020-01-22,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-23,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-24,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-25,,,,,,,,,,
2020-01-26,,,,,,,,,,
2020-01-27,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-28,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-29,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-30,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-01-31,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-02-01,,,,,,,,,,
2020-02-02,,,,,,,,,,
2020-02-03,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-02-04,44300,56000,111450,73150,93500,75400,89650,88700,77600.0,47300
2020-02-05,45500,56000,98950,77200,90800,109550,89650,91750,82900.0,42800
2020-02-06,45500,56000,98950,77200,90800,109550,89650,91750,82900.0,42800
2020-02-07,45500,56000,98950,77200,90800,109550,89650,91750,82900.0,42800
2020-02-08,,,,,,,,,,
2020-02-09,,,,,,,,,,
2020-02-10,45500,56000,98950,77200,90800,109550,89650,91750,82900.0,42800
2020-02-11,45500,56000,98950,77200,90800,109550,89650,91750,82900.0,42800
2020-02-12,45500,50500,96700,72400,94750,116950,89650,103650,82900.0,53850
2020-02-13,45500,50500,96700,72400,94750,116950,89650,103650,82900.0,53850
2020-02-14,45500,50500,96700,72400,94750,116950,89650,103650,82900.0,53850
2020-02-15,,,,,,,,,,
2020-02-16,,,,,,,,,,
2020-02-17,45500,50500,96700,72400,94750,116950,89650,103650,82900.0,53850
2020-02-18,45500,50500,96700,72400,94750,116950,89650,103650,82900.0,53850
2020-02-19,45500,89200,95200,72400,94100,116950,92600,94650,82900.0,55100
2020-02-20,45500,89200,95200,72400,94100,116950,92600,94650,82900.0,55100
2020-02-21,45500,89200,95200,72400,94100,116950,92600,94650,82900.0,55100
2020-02-22,,,,,,,,,,
2020-02-23,,,,,,,,,,
2020-02-24,45500,89200,95200,72400,94100,116950,92600,94650,82900.0,55100
2020-02-25,45500,89200,95200,72400,94100,116950,92600,94650,82900.0,55100
2020-02-26,45500,89200,95450,72400,87350,116950,98800,94650,82900.0,55100
2020-02-27,45500,89200,95450,72400,87350,116950,98800,94650,82900.0,55100
2020-02-28,45500,89200,95450,72400,87350,116950,98800,94650,82900.0,55100
2020-02-29,,,,,,,,,,
2020-03-01,,,,,,,,,,
2020-03-02,45500,89200,95450,72400,87350,116950,98800,94650,82900.0,55100
2020-03-03,45500,89200,95450,72400,87350,116950,98800,94650,82900.0,55100
2020-03-04,45500,85750,96050,78600,87350,116950,98800,94150,82900.0,55100
2020-03-05,45500,85750,96050,78600,87350,116950,98800,94150,82900.0,55100
2020-03-06,45500,85750,96050,78600,87350,116950,98800,94150,82900.0,55100
2020-03-07,,,,,,,,,,
2020-03-08,,,,,,,,,,
2020-03-09,45500,85750,96050,78600,87350,116950,98800,94150,82900.0,55100
2020-03-10,45500,85750,96050,78600,87350,116950,98800,94150,82900.0,55100
2020-03-11,41200,90200,90200,78600,87200,123100,102700,94100,82900.0,54600
2020-03-12,41200,90200,90200,78600,87200,123100,102700,94100,82900.0,54600
2020-03-13,41200,90200,90200,78600,87200,123100,102700,94100,82900.0,54600
2020-03-14,,,,,,,,,,
2020-03-15,,,,,,,,,,
2020-03-16,41200,90200,90200,78600,87200,123100,102700,94100,82900.0,54600
2020-03-17,41200,90200,90200,78600,87200,123100,102700,94100,82900.0,54600
2020-03-18,39950,90200,89650,78600,88050,123100,107700,92900,82900.0,48600
2020-03-19,39950,90200,89650,78600,88050,123100,107700,92900,82900.0,48600
2020-03-20,39950,90200,89650,78600,88050,123100,107700,92900,82900.0,48600
2020-03-21,,,,,,,,,,
2020-03-22,,,,,,,,,,
2020-03-23,39950,90200,89650,78600,88050,123100,107700,92900,82900.0,48600
2020-03-24,39950,90200,89650,78600,88050,123100,107700,92900,82900.0,48600
2020-03-25,,,,,,,,,,
2020-03-26,34550,95700,82800,78600,77800,123100,107700,91900,82900.0,47600
2020-03-27,34550,95700,82800,78600,77800,123100,107700,91900,82900.0,47600
2020-03-28,,,,,,,,,,
2020-03-29,,,,,,,,,,
2020-03-30,34550,95700,82800,78600,77800,123100,107700,91900,82900.0,47600
2020-03-31,34550,95700,82800,78600,77800,123100,107700,91900,82900.0,47600
2020-04-01,33600,95700,77900,69850,77800,118200,107700,91900,83900.0,47600
2020-04-02,33600,95700,77900,69850,77800,118200,107700,91900,83900.0,47600
2020-04-03,33600,95700,77900,69850,77800,118200,107700,91900,83900.0,47600
2020-04-04,,,,,,,,,,
2020-04-05,,,,,,,,,,
2020-04-06,33600,95700,77900,69850,77800,118200,107700,91900,83900.0,47600
