,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-01-01,,,,,,,,,,
2018-01-02,,,,,,,,,,
2018-01-03,68300.0,48200.0,63650.0,61350.0,26550.0,50000.0,58500.0,70950.0,54700.0,70750.0
2018-01-04,68300.0,48200.0,63650.0,61350.0,26550.0,50000.0,58500.0,70950.0,54700.0,70750.0
2018-01-05,68300.0,48200.0,63650.0,61350.0,26550.0,50000.0,58500.0,70950.0,54700.0,70750.0
2018-01-06,,,,,,,,,,
2018-01-07,,,,,,,,,,
2018-01-08,68300.0,48200.0,63650.0,61350.0,26550.0,50000.0,58500.0,70950.0,54700.0,70750.0
2018-01-09,68300.0,48200.0,63650.0,61350.0,26550.0,50000.0,58500.0,70950.0,54700.0,70750.0
2018-01-10,72300.0,46300.0,64250.0,66100.0,28000.0,52100.0,58500.0,72550.0,64900.0,70750.0
2018-01-11,72300.0,46300.0,64250.0,66100.0,28000.0,52100.0,58500.0,72550.0,64900.0,70750.0
2018-01-12,72300.0,46300.0,64250.0,66100.0,28000.0,52100.0,58500.0,72550.0,64900.0,70750.0
2018-01-13,,,,,,,,,,
2018-01-14,,,,,,,,,,
2018-01-15,72300.0,46300.0,64250.0,66100.0,28000.0,52100.0,58500.0,72550.0,64900.0,70750.0
2018-01-16,72300.0,46300.0,64250.0,66100.0,28000.0,52100.0,58500.0,72550.0,64900.0,70750.0
2018-01-17,56050.0,45900.0,64500.0,64850.0,30400.0,52100.0,63550.0,72400.0,56450.0,68250.0
2018-01-18,56050.0,45900.0,64500.0,64850.0,30400.0,52100.0,63550.0,72400.0,56450.0,68250.0
2018-01-19,56050.0,45900.0,64500.0,64850.0,30400.0,52100.0,63550.0,72400.0,56450.0,68250.0
2018-01-20,,,,,,,,,,
2018-01-21,,,,,,,,,,
2018-01-22,56050.0,45900.0,64500.0,64850.0,30400.0,52100.0,63550.0,72400.0,56450.0,68250.0
2018-01-23,56050.0,45900.0,64500.0,64850.0,30400.0,52100.0,63550.0,72400.0,56450.0,68250.0
2018-01-24,56050.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-01-25,56050.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-01-26,56050.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-01-27,,,,,,,,,,
2018-01-28,,,,,,,,,,
2018-01-29,56050.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-01-30,56050.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-01-31,58400.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-02-01,58400.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-02-02,58400.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-02-03,,,,,,,,,,
2018-02-04,,,,,,,,,,
2018-02-05,58400.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,78150.0,64450.0,68250.0
2018-02-06,58400.0,47700.0,69900.0,66700.0,32450.0,52100.0,63550.0,85150.0,64450.0,68250.0
2018-02-07,56600.0,47350.0,70400.0,66700.0,31550.0,51450.0,63550.0,85150.0,69450.0,66000.0
2018-02-08,56600.0,47350.0,70400.0,66700.0,31550.0,51450.0,63550.0,85150.0,69450.0,66000.0
